ImageId,Label
0,0
1,0
2,7
3,4
4,6
5,2
6,4
7,5
8,0
9,8
10,7
11,1
12,9
13,5
14,3
15,0
16,4
17,7
18,8
19,4
20,7
21,8
22,5
23,9
24,1
25,2
26,0
27,6
28,1
29,8
30,7
31,0
32,7
33,6
34,4
35,1
36,9
37,3
38,4
39,4
40,9
41,2
42,1
43,9
44,9
45,6
46,4
47,8
48,2
49,8
50,2
51,7
52,1
53,4
54,6
55,2
56,0
57,4
58,6
59,3
60,7
61,1
62,0
63,2
64,2
65,5
66,2
67,4
68,8
69,1
70,7
71,3
72,0
73,3
74,3
75,7
76,7
77,9
78,1
79,3
80,3
81,4
82,3
83,4
84,2
85,8
86,8
87,4
88,8
89,4
90,7
91,1
92,6
93,9
94,4
95,0
96,1
97,3
98,6
99,2
100,4
101,7
102,4
103,0
104,2
105,8
106,5
107,1
108,0
109,1
110,9
111,6
112,9
113,6
114,9
115,5
116,4
117,5
118,9
119,5
120,7
121,1
122,3
123,7
124,0
125,2
126,0
127,4
128,8
129,2
130,3
131,5
132,3
133,3
134,4
135,5
136,8
137,9
138,6
139,1
140,2
141,0
142,0
143,6
144,2
145,7
146,6
147,4
148,6
149,1
150,1
151,4
152,5
153,2
154,8
155,8
156,9
157,3
158,0
159,4
160,4
161,7
162,6
163,2
164,2
165,4
166,6
167,4
168,4
169,8
170,2
171,1
172,2
173,3
174,2
175,5
176,7
177,9
178,9
179,5
180,1
181,3
182,9
183,2
184,5
185,0
186,4
187,7
188,5
189,8
190,1
191,0
192,2
193,4
194,2
195,0
196,8
197,4
198,5
199,7
200,7
201,4
202,7
203,2
204,1
205,7
206,7
207,4
208,1
209,4
210,2
211,6
212,4
213,6
214,1
215,4
216,9
217,0
218,5
219,7
220,3
221,8
222,4
223,0
224,3
225,1
226,5
227,8
228,5
229,9
230,3
231,7
232,8
233,3
234,8
235,0
236,8
237,5
238,7
239,6
240,9
241,1
242,1
243,7
244,8
245,4
246,2
247,3
248,2
249,5
250,1
251,7
252,6
253,0
254,8
255,1
256,4
257,1
258,4
259,3
260,5
261,4
262,3
263,7
264,6
265,8
266,0
267,0
268,2
269,0
270,4
271,6
272,4
273,6
274,9
275,7
276,8
277,9
278,1
279,8
280,8
281,8
282,0
283,4
284,1
285,3
286,6
287,1
288,5
289,0
290,5
291,5
292,3
293,4
294,7
295,2
296,6
297,7
298,7
299,6
300,3
301,3
302,3
303,5
304,9
305,9
306,4
307,1
308,4
309,4
310,7
311,2
312,4
313,5
314,1
315,2
316,2
317,4
318,8
319,4
320,2
321,1
322,3
323,4
324,8
325,5
326,6
327,3
328,5
329,1
330,9
331,7
332,3
333,1
334,6
335,8
336,1
337,6
338,9
339,4
340,8
341,4
342,3
343,4
344,5
345,2
346,7
347,9
348,1
349,5
350,6
351,7
352,0
353,1
354,9
355,8
356,4
357,1
358,0
359,6
360,7
361,5
362,1
363,8
364,1
365,6
366,3
367,9
368,4
369,8
370,5
371,8
372,4
373,4
374,0
375,8
376,2
377,0
378,3
379,8
380,2
381,0
382,5
383,7
384,6
385,1
386,4
387,9
388,1
389,4
390,2
391,9
392,2
393,2
394,3
395,3
396,7
397,5
398,2
399,5
400,6
401,5
402,1
403,7
404,8
405,5
406,0
407,0
408,2
409,7
410,9
411,3
412,1
413,7
414,2
415,6
416,7
417,1
418,8
419,3
420,8
421,2
422,7
423,0
424,5
425,1
426,8
427,8
428,8
429,8
430,6
431,4
432,9
433,1
434,1
435,0
436,3
437,4
438,4
439,9
440,6
441,7
442,5
443,0
444,2
445,2
446,5
447,7
448,5
449,9
450,0
451,6
452,1
453,5
454,9
455,9
456,9
457,4
458,7
459,1
460,7
461,2
462,3
463,1
464,4
465,3
466,2
467,4
468,3
469,4
470,3
471,2
472,0
473,0
474,5
475,9
476,1
477,6
478,4
479,2
480,3
481,5
482,5
483,1
484,8
485,7
486,7
487,4
488,5
489,0
490,0
491,1
492,7
493,6
494,9
495,4
496,6
497,8
498,9
499,6
500,3
501,0
502,8
503,3
504,2
505,0
506,8
507,7
508,2
509,9
510,8
511,5
512,9
513,7
514,5
515,6
516,1
517,7
518,3
519,5
520,5
521,0
522,4
523,5
524,2
525,4
526,6
527,1
528,6
529,6
530,3
531,0
